Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
12032004;10;31;1350;208;140;1118;187;912;122;1712;1237;132;417;06320
12032004;11;27;1263;166;116;1037;216;969;143;1598;1167;143;384;06243
12032004;12;21;1206;114;102;986;143;1035;113;1537;959;150;365;06195
12032004;13;25;1252;140;110;1016;160;1008;116;1593;983;161;345;06262
12032004;14;27;1287;169;128;1078;163;949;123;1660;1061;163;357;06560
12032004;15;29;1353;185;142;1122;190;922;126;1740;1139;158;370;06610
12032004;16;28;1309;165;127;1073;178;954;120;1657;1112;159;372;06657
12032004;17;24;1274;133;117;1041;150;1006;119;1610;994;169;343;06549
12032004;18;39;1510;233;193;1277;206;812;149;1910;1410;151;396;06766
12032004;19;37;1525;242;182;1246;202;821;145;1847;1448;144;434;07084
12032004;20;66;1843;488;326;1610;340;624;170;2390;1887;129;505;07478
12032004;21;44;1598;333;201;1299;274;752;149;1941;1627;121;533;07536
12032004;22;35;1484;215;143;1127;253;839;139;1723;1491;110;591;07740
12032004;23;54;1677;367;218;1346;300;741;134;2062;1657;97;646;07771
13032004;00;27;1280;122;96;964;193;963;113;1544;1285;95;641;07597
13032004;01;19;1196;67;74;873;139;1071;97;1463;1144;91;639;07423
13032004;02;16;1184;43;54;782;83;1176;82;1365;1043;88;639;07256
13032004;03;17;1172;46;54;783;-200;1179;-200;1380;996;78;675;07173
13032004;04;-200;1147;56;62;821;109;1132;83;1412;992;70;711;07158
13032004;05;1;978;30;26;625;62;1420;65;1274;819;83;636;06982
13032004;06;12;1100;27;29;646;53;1406;60;1268;835;72;675;06887
13032004;07;15;1112;47;51;770;139;1228;77;1409;940;63;719;06932
13032004;08;27;1336;132;118;1043;256;935;96;1678;1192;65;716;06945
13032004;09;37;1408;239;151;1153;295;830;119;1777;1411;96;597;07124
13032004;10;32;1447;160;129;1081;250;869;126;1667;1465;124;512;07335
13032004;11;41;1542;283;161;1184;296;808;158;1780;1583;156;422;07451
13032004;12;36;1451;210;140;1117;239;875;161;1679;1387;184;338;07090
13032004;13;28;1328;154;123;1059;153;987;124;1600;1101;194;313;06950
13032004;14;2;1207;112;86;924;118;1088;102;1488;850;180;348;07127
13032004;15;2;1240;108;92;947;119;1049;116;1532;947;184;336;07042
13032004;16;25;1306;111;102;987;138;1004;124;1554;1078;176;351;07012
13032004;17;23;1326;97;106;1000;148;976;125;1602;1084;167;378;07117
13032004;18;32;1473;191;155;1163;227;831;148;1779;1395;161;410;07451
13032004;19;42;1609;258;196;1286;277;758;165;1922;1612;158;424;07569
13032004;20;42;1611;284;192;1274;279;754;161;1915;1697;157;441;07786
13032004;21;42;1621;269;183;1247;283;762;159;1860;1886;153;468;08091
13032004;22;31;1444;180;131;1089;214;844;143;1748;1624;146;486;08060
13032004;23;26;1418;116;109;1010;172;892;130;1603;1536;147;493;08193
14032004;00;29;1534;93;110;1013;190;889;129;1611;1535;139;536;08498
14032004;01;28;1484;131;119;1045;174;880;119;1624;1530;146;515;08536
14032004;02;25;1367;92;86;925;128;953;104;1543;1337;125;589;08537
14032004;03;24;1344;132;97;968;-200;921;-200;1620;1278;116;634;08674
14032004;04;-200;1130;56;52;773;70;1130;82;1452;1051;121;611;08603
14032004;05;12;1062;32;37;691;53;1272;70;1377;929;115;631;08533
14032004;06;1;1076;29;25;618;44;1395;63;1333;872;116;622;08473
14032004;07;09;1028;27;24;615;74;1384;67;1340;853;104;676;08530
14032004;08;14;1155;36;42;722;101;1225;84;1414;959;116;627;08530
14032004;09;16;1235;57;64;828;118;1055;83;1527;1093;124;600;08627
14032004;10;22;1332;129;86;923;144;952;98;1614;1225;145;531;08728
14032004;11;28;1445;148;109;1009;176;878;114;1696;1355;169;461;08789
14032004;12;28;1416;145;107;1002;161;907;119;1677;1262;193;383;08474
14032004;13;2;1281;93;75;880;113;1084;104;1525;980;212;314;07812
14032004;14;18;1207;84;75;879;103;1104;102;1490;872;214;302;07616
14032004;15;19;1258;99;82;906;112;1081;107;1511;900;219;290;07525
14032004;16;3;1458;150;119;1045;170;974;129;1646;1099;222;284;07516
14032004;17;29;1438;156;120;1051;180;943;128;1668;1206;213;308;07696
14032004;18;25;1478;122;122;1055;160;929;121;1671;1262;197;367;08307
14032004;19;46;1808;262;206;1312;261;753;157;1993;1698;184;417;08732
14032004;20;59;1898;341;231;1381;325;681;173;2103;1905;176;461;09210
14032004;21;34;1560;214;147;1140;217;784;146;1818;1648;167;496;09320
14032004;22;21;1324;100;90;940;146;924;121;1587;1423;163;510;09341
14032004;23;22;1349;79;88;933;152;933;119;1617;1349;147;559;09314
15032004;00;18;1239;66;74;872;104;985;99;1547;1250;148;547;09164
15032004;01;18;1239;73;69;853;106;1010;93;1543;1174;140;570;09094
15032004;02;18;1224;66;70;855;108;998;88;1566;1149;134;613;09361
15032004;03;11;1078;44;44;734;-200;1128;-200;1487;1021;126;635;09230
15032004;04;-200;1078;44;40;711;66;1150;71;1468;1013;123;654;09351
15032004;05;1;1075;39;39;703;88;1156;74;1464;1010;119;674;09375
15032004;06;14;1157;51;64;830;138;1030;80;1584;1083;114;705;09475
15032004;07;22;1314;107;97;966;228;897;89;1710;1235;113;702;09401
15032004;08;55;1797;336;259;1451;360;652;114;2323;1680;124;639;09170
15032004;09;81;1961;618;367;1701;478;537;149;2665;2184;148;543;09076
15032004;10;58;1771;438;266;1470;394;622;157;2262;1973;174;456;08993
15032004;11;42;1564;334;201;1300;319;710;155;2029;1798;198;385;08801
15032004;12;31;1430;221;141;1120;201;831;134;1783;1522;220;341;08904
15032004;13;29;1417;207;149;1146;171;830;119;1831;1404;233;322;09096
15032004;14;29;1400;191;154;1162;159;838;111;1829;1263;239;300;08757
15032004;15;25;1317;185;121;1053;153;926;104;1707;1137;244;289;08736
15032004;16;23;1318;141;115;1033;143;950;99;1675;1068;244;294;08848
15032004;17;28;1445;214;148;1141;156;857;110;1824;1252;238;313;09137
15032004;18;61;1917;471;321;1601;314;631;162;2447;1843;225;354;09547
15032004;19;8;2040;685;392;1754;404;542;187;2679;2122;204;425;10086
15032004;20;65;1895;538;310;1573;320;565;165;2443;1992;183;526;10945
15032004;21;42;1595;319;199;1294;256;678;145;2058;1707;167;574;10786
15032004;22;32;1439;224;153;1159;193;764;125;1856;1494;157;602;10654
15032004;23;14;1142;67;69;852;89;1008;101;1547;1164;153;614;10580
16032004;00;21;1304;155;111;1019;127;852;103;1731;1272;141;657;10494
16032004;01;12;1074;49;54;784;79;1098;88;1483;1040;148;606;10148
16032004;02;08;968;29;28;640;43;1320;61;1386;867;148;592;09879
16032004;03;07;929;25;23;608;-200;1376;-200;1364;826;136;621;09636
16032004;04;-200;941;25;26;626;59;1316;59;1373;840;123;662;09450
16032004;05;06;937;17;20;585;38;1412;52;1348;793;128;632;09283
16032004;06;09;1017;27;35;681;82;1246;64;1418;870;112;685;09081
16032004;07;13;1171;50;51;770;99;1162;70;1467;930;110;665;08705
16032004;08;34;1541;218;162;1185;263;770;97;1889;1407;117;637;08719
16032004;09;37;1539;285;197;1287;229;698;95;2055;1507;136;563;08743
16032004;10;53;1735;437;251;1431;396;628;150;2211;1843;178;429;08672
16032004;11;41;1571;327;200;1297;314;730;162;1973;1729;214;333;08417
16032004;12;33;1452;283;183;1250;217;776;154;1868;1583;244;274;08231
16032004;13;4;1579;366;223;1359;252;724;161;1998;1671;253;261;08264
16032004;14;38;1466;318;204;1309;263;773;161;1897;1491;258;232;07589
16032004;15;28;1280;228;146;1136;180;893;128;1675;1240;270;202;07094
16032004;16;29;1407;201;166;1197;184;905;129;1759;1313;282;186;07014
16032004;17;29;1389;199;158;1173;190;898;133;1739;1363;280;191;07098
16032004;18;34;1447;237;178;1235;184;859;139;1778;1296;239;257;07519
16032004;19;39;1551;261;191;1271;181;800;137;1875;1432;213;348;08730
16032004;20;32;1474;230;158;1173;166;854;143;1776;1432;204;367;08704
16032004;21;51;1800;349;249;1426;317;700;177;2106;2034;190;413;09007
16032004;22;26;1379;183;135;1101;184;818;138;1710;1602;179;459;09342
16032004;23;17;1201;88;91;943;130;935;117;1560;1362;167;489;09226
17032004;00;17;1205;85;86;925;132;922;107;1547;1314;155;529;09271
17032004;01;12;1072;47;54;784;95;1066;90;1442;1114;155;519;09059
17032004;02;09;998;34;41;714;70;1169;79;1383;992;141;556;08910
17032004;03;07;933;26;26;625;-200;1292;-200;1332;884;131;579;08666
17032004;04;-200;883;17;19;577;54;1396;60;1303;808;127;579;08447
17032004;05;05;869;11;16;554;28;1460;40;1268;667;118;580;08026
17032004;06;05;891;18;19;576;46;1417;53;1289;733;119;574;07978
17032004;07;16;1173;84;75;878;160;1038;84;1556;1052;99;652;07956
17032004;08;41;1587;260;214;1334;320;702;108;1999;1534;111;602;07958
17032004;09;66;1852;534;364;1696;377;553;127;2535;1931;141;500;08020
17032004;10;43;1522;368;213;1331;280;703;134;2026;1734;177;401;08048
17032004;11;29;1438;200;154;1161;221;819;135;1782;1595;211;334;08265
17032004;12;25;1393;145;125;1067;210;905;142;1654;1490;243;283;08471
17032004;13;28;1452;188;151;1152;204;861;153;1747;1508;256;256;08254
17032004;14;26;1389;152;137;1108;161;887;123;1712;1334;259;259;08503
17032004;15;2;1207;103;104;994;135;1013;104;1520;1045;268;187;06500
17032004;16;29;1365;193;152;1154;186;940;129;1679;1221;293;158;06309
17032004;17;25;1247;134;123;1060;147;1032;114;1525;1069;285;149;05708
17032004;18;5;1557;386;270;1478;299;793;158;1981;1569;259;160;05237
17032004;19;76;1973;577;384;1737;411;617;194;2414;2306;231;265;07403
17032004;20;67;1975;523;351;1667;347;597;182;2416;2359;205;382;09133
17032004;21;57;1795;472;272;1485;336;653;180;2174;2050;191;426;09294
17032004;22;28;1444;206;150;1150;202;770;136;1727;1727;172;441;08558
17032004;23;26;1488;216;157;1171;178;731;127;1778;1705;160;509;09206
18032004;00;23;1371;159;130;1083;154;796;116;1669;1551;148;539;09024
18032004;01;14;1161;70;81;904;92;947;107;1502;1240;143;554;08975
18032004;02;1;1064;44;55;787;61;1057;88;1407;1115;148;521;08686
18032004;03;07;970;42;36;687;-200;1196;-200;1351;969;139;539;08501
18032004;04;-200;954;28;29;645;60;1260;78;1334;925;116;619;08442
18032004;05;06;931;20;25;623;37;1293;57;1307;828;120;589;08233
18032004;06;07;938;26;30;650;68;1251;71;1333;893;109;621;08113
18032004;07;15;1166;78;77;885;139;1005;85;1551;1075;106;633;08067
18032004;08;47;1643;319;233;1384;339;667;124;2094;1610;115;600;08117
18032004;09;66;1934;506;358;1682;421;541;151;2468;2051;143;506;08186
18032004;10;45;1617;-200;213;1333;349;686;150;2010;1819;178;405;08210
18032004;11;28;1473;-200;143;1127;224;831;152;1752;1568;208;344;08365
18032004;12;22;1379;-200;125;1068;171;899;139;1663;1374;238;282;08219
18032004;13;22;1385;-200;122;1056;149;891;133;1648;1268;242;287;08515
18032004;14;23;1379;-200;131;1087;137;901;126;1660;1144;252;249;07829
18032004;15;22;1322;-200;144;1129;149;934;128;1639;1109;270;178;06275
18032004;16;28;1496;-200;168;1205;172;822;169;1767;1347;271;231;08180
18032004;17;27;1409;-200;145;1131;166;873;149;1689;1206;258;239;07832
18032004;18;37;1513;-200;215;1338;214;764;156;1957;1397;230;268;07446
18032004;19;51;1667;-200;264;1464;280;683;168;2118;1588;207;311;07523
18032004;20;51;1667;-200;260;1453;276;684;176;2051;1569;186;362;07676
18032004;21;32;1430;-200;141;1121;178;814;135;1732;1322;160;484;08768
18032004;22;21;1333;-200;103;989;129;885;121;1621;1194;145;578;09456
18032004;23;17;1262;-200;83;911;95;948;99;1545;1062;131;642;09606
19032004;00;2;1287;-200;89;936;126;918;106;1606;1040;120;697;09735
19032004;01;16;1134;-200;66;840;103;1021;96;1501;917;119;711;09915
19032004;02;09;999;-200;36;688;48;1229;63;1380;594;125;693;10029
19032004;03;07;961;-200;25;622;-200;1382;-200;1301;430;125;675;09768
19032004;04;-200;934;-200;18;569;20;1440;32;1280;397;123;677;09665
19032004;05;05;913;-200;13;525;18;1620;28;1260;370;125;668;09620
19032004;06;07;969;-200;23;607;56;1373;61;1324;438;123;663;09487
19032004;07;15;1182;-200;67;845;115;1054;99;1539;704;124;649;09332
19032004;08;48;1740;-200;228;1372;320;671;157;2144;1476;130;616;09209
19032004;09;62;1819;-200;313;1582;357;575;166;2456;1716;136;588;09120
19032004;10;4;1427;-200;192;1275;253;701;149;1980;1398;139;571;09032
19032004;11;33;1390;-200;164;1191;218;759;135;1879;1268;145;544;08917
19032004;12;28;1283;-200;140;1117;192;813;127;1751;1188;155;501;08744
19032004;13;3;1304;-200;153;1157;176;793;122;1801;1171;161;476;08655
19032004;14;33;1364;-200;167;1202;198;771;135;1875;1250;163;471;08640
19032004;15;35;1410;-200;190;1268;212;724;139;1957;1344;164;475;08791
19032004;16;4;1476;-200;194;1280;249;708;147;1955;1378;161;502;09094
19032004;17;46;1522;-200;209;1320;270;690;158;2005;1435;160;507;09142
19032004;18;41;1442;-200;202;1301;231;704;146;1952;1372;158;503;08989
19032004;19;45;1469;-200;217;1344;251;677;144;1997;1471;155;506;08840
19032004;20;39;1467;-200;198;1292;210;698;138;1942;1439;154;514;08956
19032004;21;4;1421;-200;167;1202;249;748;143;1854;1429;152;531;09117
19032004;22;22;1175;-200;91;945;143;904;116;1604;1081;147;576;09573
19032004;23;21;1215;-200;83;912;127;948;109;1547;993;142;583;09380
20032004;00;17;1127;-200;58;802;104;1064;92;1447;837;138;579;09085
20032004;01;16;1090;-200;52;773;86;1105;83;1429;761;139;559;08842
20032004;02;13;1017;-200;41;718;74;1182;81;1382;650;139;556;08765
20032004;03;13;997;-200;34;677;-200;1252;-200;1359;591;138;551;08666
20032004;04;-200;945;-200;29;646;44;1308;55;1332;505;138;546;08574
20032004;05;08;956;-200;31;661;42;1260;53;1351;518;136;551;08560
20032004;06;08;966;-200;25;622;63;1317;67;1342;571;136;590;09129
20032004;07;11;1064;-200;43;728;115;1161;91;1461;842;135;584;08960
20032004;08;21;1300;-200;89;935;170;902;113;1623;1145;138;580;09083
20032004;09;24;1348;-200;105;998;147;834;102;1689;1218;146;531;08765
20032004;10;26;1425;-200;125;1068;166;776;107;1764;1341;150;523;08881
20032004;11;28;1474;-200;123;1061;195;768;113;1768;1406;154;521;09046
20032004;12;26;1490;-200;117;1039;182;782;108;1757;1422;163;500;09158
20032004;13;26;1495;-200;117;1040;168;809;105;1735;1373;171;479;09281
20032004;14;21;1376;-200;93;953;125;900;93;1636;1153;190;429;09370
20032004;15;17;1305;-200;76;884;95;980;87;1573;927;195;423;09476
20032004;16;16;1283;-200;67;844;79;1036;76;1539;766;195;423;09493
20032004;17;21;1392;-200;97;967;119;930;94;1649;941;191;438;09556
20032004;18;23;1452;-200;124;1063;142;856;110;1774;1146;185;463;09744
20032004;19;35;1633;-200;166;1199;215;734;136;1919;1417;174;516;10159
20032004;20;39;1625;-200;164;1191;229;733;139;1885;1442;171;513;09914
20032004;21;33;1535;-200;137;1108;206;785;125;1820;1323;164;538;09964
20032004;22;23;1323;-200;99;973;147;864;111;1712;1125;162;554;10132
20032004;23;21;1309;-200;89;937;122;905;97;1672;1036;159;577;10356
21032004;00;28;1456;-200;106;999;175;835;107;1714;1202;157;586;10396
21032004;01;21;1300;-200;74;872;133;941;90;1577;1054;151;609;10398
21032004;02;16;1203;-200;62;823;89;1004;84;1526;903;156;566;09951
21032004;03;16;1195;-200;65;836;-200;987;-200;1554;885;152;579;09941
21032004;04;-200;1117;-200;58;802;85;1029;87;1539;818;154;578;10021
21032004;05;11;1062;-200;40;711;55;1136;66;1461;700;149;606;10196
21032004;06;07;947;-200;21;594;24;1300;36;1390;580;145;630;10316
21032004;07;08;1065;-200;36;687;72;1143;62;1492;815;142;662;10630
21032004;08;12;1155;-200;44;734;122;1062;91;1528;1035;145;653;10704
21032004;09;14;1220;-200;54;782;111;996;89;1560;1067;153;621;10730
21032004;10;17;1301;-200;71;862;123;914;93;1633;1114;163;590;10868
21032004;11;18;1279;-200;73;870;106;911;81;1646;1000;189;496;10700
21032004;12;18;1267;-200;76;883;103;953;82;1617;906;194;461;10249
21032004;13;19;1239;-200;68;848;102;981;80;1568;822;208;416;10091
21032004;14;13;1128;-200;46;742;48;1144;48;1507;610;214;403;10126
21032004;15;16;1243;-200;84;916;63;962;61;1669;657;212;393;09791
21032004;16;19;1208;-200;69;853;98;1060;89;1506;647;203;380;08942
21032004;17;23;1306;-200;90;938;132;961;105;1607;762;194;413;09206
21032004;18;38;1546;-200;151;1151;173;769;116;1874;1122;185;438;09252
21032004;19;35;1501;-200;126;1071;185;823;119;1744;1130;178;481;09689
21032004;20;43;1605;-200;151;1153;266;769;144;1840;1637;179;469;09520
21032004;21;28;1316;-200;99;974;188;883;123;1673;1272;174;491;09688
21032004;22;19;1195;-200;80;898;122;933;105;1594;1098;170;517;09914
21032004;23;19;1211;-200;79;896;112;920;93;1624;1066;164;551;10198
22032004;00;17;1161;-200;61;815;93;995;86;1582;909;161;600;10919
22032004;01;15;1095;-200;51;767;74;1050;76;1547;818;158;605;10805
22032004;02;06;897;-200;17;563;23;1417;33;1355;472;163;570;10491
22032004;03;04;842;-200;07;468;-200;1813;-200;1274;394;169;539;10309
22032004;04;-200;854;-200;08;481;17;1756;27;1304;396;161;559;10153
22032004;05;03;845;-200;07;472;15;1786;23;1278;378;165;539;10049
22032004;06;06;942;-200;20;586;41;1480;46;1373;432;164;540;09979
22032004;07;12;1090;-200;51;768;86;1072;76;1538;699;157;576;10195
22032004;08;36;1514;-200;177;1230;226;732;116;1996;1252;158;537;09571
22032004;09;37;1379;-200;184;1252;214;711;115;1962;1237;174;421;08281
22032004;10;18;1074;-200;69;854;115;1032;83;1484;772;179;384;07793
22032004;11;16;1090;-200;73;868;124;1026;87;1509;766;185;367;07764
22032004;12;19;1110;-200;96;964;122;947;90;1577;829;210;296;07263
22032004;13;2;1102;-200;104;994;107;955;87;1599;783;213;281;07067
22032004;14;22;1100;-200;112;1021;133;952;99;1607;822;213;261;06539
22032004;15;21;1094;-200;107;1003;130;965;99;1574;813;213;268;06681
22032004;16;23;1076;451;116;1034;150;964;101;1544;813;213;242;06060
22032004;17;26;1152;185;124;1062;138;928;103;1606;850;202;285;06682
22032004;18;38;1407;426;183;1249;213;720;129;1932;1276;170;431;08264
22032004;19;44;1438;672;210;1325;232;678;143;1993;1401;156;474;08347
22032004;20;45;1425;624;210;1325;238;678;146;1965;1356;153;474;08178
22032004;21;33;1279;325;145;1131;180;775;124;1758;1243;145;497;08177
22032004;22;2;1132;143;84;916;128;920;113;1561;1083;139;520;08231
22032004;23;11;1006;89;43;729;65;1142;80;1370;795;145;494;08106
23032004;00;09;982;73;38;700;53;1204;72;1359;735;138;514;08071
23032004;01;08;969;48;27;636;47;1271;64;1309;684;140;513;08163
23032004;02;07;941;47;25;621;51;1298;70;1330;714;130;568;08444
23032004;03;05;892;36;12;522;-200;1522;-200;1285;456;110;700;09215
23032004;04;-200;855;25;08;478;20;1701;31;1261;401;101;768;09483
23032004;05;03;834;19;06;459;13;1908;22;1212;361;88;805;09147
23032004;06;05;909;26;18;567;33;1542;47;1287;418;96;754;09004
23032004;07;11;1061;60;46;745;103;1178;88;1429;616;98;750;09093
23032004;08;3;1441;248;142;1124;224;851;130;1829;1089;100;742;09117
23032004;09;38;1498;535;210;1325;244;684;132;2095;1329;112;697;09232
23032004;10;34;1343;340;162;1185;237;760;132;1857;1311;120;629;08803
23032004;11;3;1308;325;155;1166;220;792;131;1794;1236;128;558;08210
23032004;12;27;1209;267;134;1097;207;837;129;1746;1147;131;548;08234
23032004;13;35;1310;325;169;1207;208;770;132;1847;1301;138;534;08351
23032004;14;28;1171;268;124;1064;160;881;110;1639;1097;160;424;07674
23032004;15;19;1112;136;101;980;131;924;99;1589;900;141;498;07971
23032004;16;2;1132;118;87;927;128;944;100;1570;781;120;611;08537
23032004;17;3;1225;276;138;1111;176;818;122;1719;1013;136;546;08465
23032004;18;19;1065;151;93;953;107;962;97;1514;790;137;495;07695
23032004;19;27;1236;236;130;1084;131;854;112;1688;1059;117;571;07822
23032004;20;33;1309;220;143;1126;166;812;128;1722;1205;115;582;07867
23032004;21;17;1089;87;76;884;89;1006;101;1487;975;126;542;07881
23032004;22;13;1000;81;53;776;81;1141;96;1375;896;120;549;07664
23032004;23;13;1041;74;54;782;78;1105;86;1425;911;110;614;08057
24032004;00;12;1045;55;49;756;70;1137;85;1411;902;111;622;08199
24032004;01;11;997;74;46;744;76;1151;79;1405;832;108;625;08082
24032004;02;09;948;35;27;634;43;1320;61;1326;715;113;600;08025
24032004;03;06;878;29;16;551;-200;1493;-200;1272;683;106;616;07856
24032004;04;-200;908;29;17;559;44;1477;66;1287;721;102;627;07813
24032004;05;06;892;20;12;522;34;1572;54;1255;648;109;586;07628
24032004;06;08;954;32;17;561;43;1496;57;1255;612;108;572;07382
24032004;07;12;1045;84;48;751;79;1186;75;1403;800;104;592;07455
24032004;08;31;1383;245;138;1109;174;832;97;1706;1173;110;573;07501
24032004;09;44;1597;553;237;1395;235;652;110;2080;1519;112;569;07565
24032004;10;34;1318;450;142;1124;218;762;113;1770;1287;121;549;07734
24032004;11;17;1138;118;80;898;136;950;88;1505;966;151;443;07535
24032004;12;15;1098;118;67;842;117;1012;85;1440;828;156;406;07146
24032004;13;17;1118;144;87;927;119;959;96;1477;825;169;346;06597
24032004;14;22;1170;159;108;1009;126;879;106;1566;872;166;356;06697
24032004;15;-200;1112;122;67;842;100;1015;91;1494;680;113;639;08554
24032004;16;27;1390;230;114;1028;197;829;126;1730;1002;96;811;09720
24032004;17;28;1353;320;134;1096;195;774;130;1783;1159;117;691;09497
24032004;18;27;1260;263;120;1050;156;828;111;1722;979;107;685;08794
24032004;19;45;1501;556;202;1302;247;681;134;2008;1311;107;673;08643
24032004;20;35;1273;458;144;1130;190;795;136;1744;1071;108;657;08486
24032004;21;26;1179;214;94;955;169;928;125;1571;899;103;663;08336
24032004;22;17;1047;97;59;809;118;1064;108;1435;766;101;669;08248
24032004;23;13;973;79;45;739;81;1186;87;1354;589;104;611;07717
25032004;00;13;997;81;45;737;80;1168;89;1341;631;103;599;07516
25032004;01;1;970;52;25;621;42;1400;58;1249;479;110;584;07686
25032004;02;07;902;38;18;568;38;1450;54;1253;479;91;681;07890
25032004;03;07;921;35;14;538;-200;1564;-200;1224;417;95;682;08091
25032004;04;05;858;29;09;490;18;1707;28;1212;378;93;723;08496
25032004;05;05;878;21;06;457;12;1935;20;1158;344;99;668;08152
25032004;06;06;893;46;14;540;43;1604;51;1268;413;76;832;08695
25032004;07;11;1038;55;38;697;84;1260;82;1383;605;81;790;08544
25032004;08;27;1320;271;116;1035;184;902;112;1721;991;87;746;08429
25032004;09;35;1353;434;178;1235;202;740;119;1937;1175;86;751;08415
25032004;10;23;1133;300;88;933;133;969;99;1552;923;97;697;08389
25032004;11;16;1066;116;68;849;130;1039;98;1468;829;110;644;08447
25032004;12;13;1027;95;59;809;106;1081;88;1442;733;136;530;08209
25032004;13;2;1106;211;89;935;132;958;96;1570;819;142;484;07780
25032004;14;19;1038;168;82;907;106;976;81;1492;723;142;463;07438
25032004;15;19;1084;154;86;924;125;986;92;1501;786;160;413;07462
25032004;16;22;1105;267;101;982;138;939;105;1545;850;177;354;07094
25032004;17;2;1102;143;94;957;120;968;88;1527;820;171;374;07225
25032004;18;29;1240;374;146;1137;158;836;103;1748;991;149;405;06835
25032004;19;52;1443;797;246;1418;253;666;141;2060;1454;134;478;07293
25032004;20;46;1389;698;216;1341;231;692;133;1982;1488;126;525;07642
25032004;21;25;1183;234;103;989;150;904;119;1539;1205;122;532;07555
25032004;22;15;1014;104;57;798;99;1083;106;1376;909;106;561;07140
25032004;23;12;979;67;45;736;75;1154;92;1324;769;99;595;07276
26032004;00;17;1048;88;55;787;93;1098;97;1373;835;96;611;07323
26032004;01;14;1024;79;48;753;79;1131;91;1357;793;97;616;07425
26032004;02;12;974;61;36;690;67;1208;83;1313;733;94;626;07398
26032004;03;06;862;43;17;561;-200;1449;-200;1219;502;82;685;07455
26032004;04;07;925;40;22;602;45;1398;59;1263;562;80;694;07459
26032004;05;08;952;52;30;654;72;1210;73;1312;832;77;724;07655
26032004;06;09;1005;64;40;713;103;1130;78;1363;924;80;718;07711
26032004;07;16;1122;88;67;842;132;1015;90;1438;974;85;663;07375
26032004;08;34;1351;375;167;1201;239;783;110;1828;1307;98;596;07214
